tournament,date,series,court,surface,round,best_of,player_1,player_2,winner,rank_1,rank_2,source,set_scores,set1_player1,set1_player2,set2_player1,set2_player2,set3_player1,set3_player2,set4_player1,set4_player2,set5_player1,set5_player2
FRENCH OPEN,2021-06-06,GRAND SLAM,OUTDOOR,CLAY,4TH ROUND,5,TSITSIPAS S.,CARRENO BUSTA P.,TSITSIPAS S.,5,12,ATP,"['6-3', '6-2', '7-5']",6,3,6,2,7,5,-1,-1,-1,-1
FRENCH OPEN,2021-06-06,GRAND SLAM,OUTDOOR,CLAY,4TH ROUND,5,GARIN C.,MEDVEDEV D.,MEDVEDEV D.,23,2,ATP,"['2-6', '1-6', '5-7']",2,6,1,6,5,7,-1,-1,-1,-1
FRENCH OPEN,2021-06-06,GRAND SLAM,OUTDOOR,CLAY,4TH ROUND,5,DAVIDOVICH FOKINA A.,DELBONIS F.,DAVIDOVICH FOKINA A.,46,51,ATP,"['6-4', '6-4', '4-6', '6-4']",6,4,6,4,4,6,6,4,-1,-1
FRENCH OPEN,2021-06-06,GRAND SLAM,OUTDOOR,CLAY,4TH ROUND,5,NISHIKORI K.,ZVEREV A.,ZVEREV A.,49,6,ATP,"['4-6', '1-6', '1-6']",4,6,1,6,1,6,-1,-1,-1,-1
FRENCH OPEN,2021-06-07,GRAND SLAM,OUTDOOR,CLAY,4TH ROUND,5,SCHWARTZMAN D.,STRUFF J.L.,SCHWARTZMAN D.,10,42,ATP,"['7-6', '6-4', '7-5']",7,6,6,4,7,5,-1,-1,-1,-1
FRENCH OPEN,2021-06-07,GRAND SLAM,OUTDOOR,CLAY,4TH ROUND,5,SINNER J.,NADAL R.,NADAL R.,19,3,ATP,"['5-7', '3-6', '0-6']",5,7,3,6,0,6,-1,-1,-1,-1
FRENCH OPEN,2021-06-08,GRAND SLAM,OUTDOOR,CLAY,QUARTERFINALS,5,ZVEREV A.,DAVIDOVICH FOKINA A.,ZVEREV A.,6,46,ATP,"['6-4', '6-1', '6-1']",6,4,6,1,6,1,-1,-1,-1,-1
FRENCH OPEN,2021-06-08,GRAND SLAM,OUTDOOR,CLAY,QUARTERFINALS,5,MEDVEDEV D.,TSITSIPAS S.,TSITSIPAS S.,2,5,ATP,"['3-6', '6-7', '5-7']",3,6,6,7,5,7,-1,-1,-1,-1
FRENCH OPEN,2021-06-09,GRAND SLAM,OUTDOOR,CLAY,QUARTERFINALS,5,NADAL R.,SCHWARTZMAN D.,NADAL R.,3,10,ATP,"['6-3', '4-6', '6-4', '6-0']",6,3,4,6,6,4,6,0,-1,-1
FRENCH OPEN,2021-06-09,GRAND SLAM,OUTDOOR,CLAY,QUARTERFINALS,5,BERRETTINI M.,DJOKOVIC N.,DJOKOVIC N.,9,1,ATP,"['3-6', '2-6', '7-6', '5-7']",3,6,2,6,7,6,5,7,-1,-1
FRENCH OPEN,2021-06-11,GRAND SLAM,OUTDOOR,CLAY,SEMIFINALS,5,TSITSIPAS S.,ZVEREV A.,TSITSIPAS S.,5,6,ATP,"['6-3', '6-3', '4-6', '4-6', '6-3']",6,3,6,3,4,6,4,6,6,3
FRENCH OPEN,2021-06-11,GRAND SLAM,OUTDOOR,CLAY,SEMIFINALS,5,NADAL R.,DJOKOVIC N.,DJOKOVIC N.,3,1,ATP,"['6-3', '3-6', '6-7', '2-6']",6,3,3,6,6,7,2,6,-1,-1
FRENCH OPEN,2021-06-13,GRAND SLAM,OUTDOOR,CLAY,THE FINAL,5,DJOKOVIC N.,TSITSIPAS S.,DJOKOVIC N.,1,5,ATP,"['6-7', '2-6', '6-3', '6-2', '6-4']",6,7,2,6,6,3,6,2,6,4
MERCEDES CUP,2021-06-08,ATP250,OUTDOOR,GRASS,1ST ROUND,3,BROWN D.,BASILASHVILI N.,BASILASHVILI N.,303,31,ATP,"['3-6', '6-7']",3,6,6,7,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-08,ATP250,OUTDOOR,GRASS,1ST ROUND,3,CILIC M.,MOLLEKER R.,CILIC M.,47,262,ATP,"['7-5', '6-3']",7,5,6,3,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-08,ATP250,OUTDOOR,GRASS,1ST ROUND,3,FUCSOVICS M.,HUMBERT U.,HUMBERT U.,44,32,ATP,"['3-6', '1-6']",3,6,1,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-08,ATP250,OUTDOOR,GRASS,1ST ROUND,3,HARRIS L.,SIMON G.,HARRIS L.,54,69,ATP,"['6-4', '7-5']",6,4,7,5,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,CELIKBILEK A.,QUERREY S.,QUERREY S.,239,67,ATP,"['4-6', '1-6']",4,6,1,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,THOMPSON J.,PELLA G.,THOMPSON J.,64,61,ATP,"['6-3', '6-4']",6,3,6,4,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,CHARDY J.,HANFMANN Y.,HANFMANN Y.,60,96,ATP,"['4-6', '4-6']",4,6,4,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,STRICKER D.,ALBOT R.,STRICKER D.,335,89,ATP,"['7-6', '7-6']",7,6,7,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,IVASHKA I.,GOJOWCZYK P.,GOJOWCZYK P.,90,134,ATP,"['7-5', '4-6', '2-6']",7,5,4,6,2,6,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,DUCKWORTH J.,MANNARINO A.,DUCKWORTH J.,101,36,ATP,"['6-3', '6-2']",6,3,6,2,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,KOEPFER D.,RODIONOV J.,RODIONOV J.,59,142,ATP,"['6-2', '3-6', '2-6']",6,2,3,6,2,6,-1,-1,-1,-1
MERCEDES CUP,2021-06-09,ATP250,OUTDOOR,GRASS,1ST ROUND,3,LOPEZ F.,POPYRIN A.,LOPEZ F.,62,63,ATP,"['6-4', '6-4']",6,4,6,4,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-10,ATP250,OUTDOOR,GRASS,2ND ROUND,3,DUCKWORTH J.,QUERREY S.,QUERREY S.,101,67,ATP,"['4-6', '6-7']",4,6,6,7,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-10,ATP250,OUTDOOR,GRASS,2ND ROUND,3,STRICKER D.,HURKACZ H.,STRICKER D.,335,20,ATP,"['7-6', '7-6']",7,6,7,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-10,ATP250,OUTDOOR,GRASS,2ND ROUND,3,BASILASHVILI N.,CILIC M.,CILIC M.,31,47,ATP,"['3-6', '2-6']",3,6,2,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-10,ATP250,OUTDOOR,GRASS,2ND ROUND,3,HUMBERT U.,HANFMANN Y.,HUMBERT U.,32,96,ATP,"['7-6', '6-2']",7,6,6,2,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-10,ATP250,OUTDOOR,GRASS,2ND ROUND,3,THOMPSON J.,DE MINAUR A.,DE MINAUR A.,64,22,ATP,"['7-6', '3-6', '4-6']",7,6,3,6,4,6,-1,-1,-1,-1
MERCEDES CUP,2021-06-10,ATP250,OUTDOOR,GRASS,2ND ROUND,3,AUGER-ALIASSIME F.,HARRIS L.,AUGER-ALIASSIME F.,21,54,ATP,"['6-3', '7-6']",6,3,7,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-11,ATP250,OUTDOOR,GRASS,2ND ROUND,3,LOPEZ F.,SHAPOVALOV D.,SHAPOVALOV D.,62,14,ATP,"['2-6', '7-6', '3-6']",2,6,7,6,3,6,-1,-1,-1,-1
MERCEDES CUP,2021-06-11,ATP250,OUTDOOR,GRASS,QUARTERFINALS,3,QUERREY S.,STRICKER D.,QUERREY S.,67,335,ATP,"['6-7', '7-6', '6-3']",6,7,7,6,6,3,-1,-1,-1,-1
MERCEDES CUP,2021-06-11,ATP250,OUTDOOR,GRASS,QUARTERFINALS,3,HUMBERT U.,AUGER-ALIASSIME F.,AUGER-ALIASSIME F.,32,21,ATP,"['6-7', '6-7']",6,7,6,7,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-11,ATP250,OUTDOOR,GRASS,QUARTERFINALS,3,CILIC M.,SHAPOVALOV D.,CILIC M.,47,14,ATP,"['7-5', '7-6']",7,5,7,6,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-11,ATP250,OUTDOOR,GRASS,QUARTERFINALS,3,DE MINAUR A.,RODIONOV J.,RODIONOV J.,22,142,ATP,"['6-3', '3-6', '6-7']",6,3,3,6,6,7,-1,-1,-1,-1
MERCEDES CUP,2021-06-12,ATP250,OUTDOOR,GRASS,SEMIFINALS,3,AUGER-ALIASSIME F.,QUERREY S.,AUGER-ALIASSIME F.,21,67,ATP,"['6-4', '7-5']",6,4,7,5,-1,-1,-1,-1,-1,-1
MERCEDES CUP,2021-06-13,ATP250,OUTDOOR,GRASS,THE FINAL,3,AUGER-ALIASSIME F.,CILIC M.,CILIC M.,21,47,ATP,"['6-7', '3-6']",6,7,3,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,THOMPSON J.,ALTMAIER D.,THOMPSON J.,81,166,ATP,"['6-2', '7-6']",6,2,7,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,POSPISIL V.,GIRON M.,GIRON M.,66,75,ATP,"['6-7', '6-7']",6,7,6,7,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,FEDERER R.,IVASHKA I.,FEDERER R.,8,90,ATP,"['7-6', '7-5']",7,6,7,5,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,BAUTISTA AGUT R.,KORDA S.,KORDA S.,10,52,ATP,"['3-6', '6-7']",3,6,6,7,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,HARRIS L.,MONFILS G.,HARRIS L.,51,16,ATP,"['6-4', '6-4']",6,4,6,4,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,BERANKIS R.,NISHIKORI K.,NISHIKORI K.,84,57,ATP,"['3-6', '6-2', '2-6']",3,6,6,2,2,6,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,LACKO L.,PELLA G.,LACKO L.,214,62,ATP,"['6-7', '7-5', '6-1']",6,7,7,5,6,1,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,MEDVEDEV D.,STRUFF J.L.,STRUFF J.L.,2,45,ATP,"['6-7', '3-6']",6,7,3,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,KOHLSCHREIBER P.,RODIONOV J.,KOHLSCHREIBER P.,128,135,ATP,"['6-4', '6-3']",6,4,6,3,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,SIMON G.,BASILASHVILI N.,BASILASHVILI N.,71,30,ATP,"['1-6', '6-3', '4-6']",1,6,6,3,4,6,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,RUBLEV A.,KHACHANOV K.,RUBLEV A.,7,27,ATP,"['6-3', '7-6']",6,3,7,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,HURKACZ H.,AUGER-ALIASSIME F.,AUGER-ALIASSIME F.,17,21,ATP,"['3-6', '5-7']",3,6,5,7,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,ZVEREV A.,KOEPFER D.,ZVEREV A.,6,53,ATP,"['6-4', '3-6', '6-3']",6,4,3,6,6,3,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,QUERREY S.,HUMBERT U.,HUMBERT U.,63,31,ATP,"['6-4', '6-7', '6-7']",6,4,6,7,6,7,-1,-1,-1,-1
HALLE OPEN,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,RINDERKNECH A.,HANFMANN Y.,RINDERKNECH A.,119,99,ATP,"['7-5', '6-3']",7,5,6,3,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,MOUTET C.,KOHLSCHREIBER P.,KOHLSCHREIBER P.,94,128,ATP,"['4-6', '6-7']",4,6,6,7,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,RUBLEV A.,THOMPSON J.,RUBLEV A.,7,81,ATP,"['6-4', '6-4']",6,4,6,4,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,FEDERER R.,AUGER-ALIASSIME F.,AUGER-ALIASSIME F.,8,21,ATP,"['6-4', '3-6', '2-6']",6,4,3,6,2,6,-1,-1,-1,-1
HALLE OPEN,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,GIRON M.,STRUFF J.L.,GIRON M.,75,45,ATP,"['6-7', '6-3', '6-4']",6,7,6,3,6,4,-1,-1,-1,-1
HALLE OPEN,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,NISHIKORI K.,KORDA S.,KORDA S.,57,52,ATP,"['6-2', '3-6', '5-7']",6,2,3,6,5,7,-1,-1,-1,-1
HALLE OPEN,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,HARRIS L.,LACKO L.,HARRIS L.,51,214,ATP,"['6-3', '7-6']",6,3,7,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,ZVEREV A.,HUMBERT U.,HUMBERT U.,6,31,ATP,"['6-7', '6-3', '3-6']",6,7,6,3,3,6,-1,-1,-1,-1
HALLE OPEN,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,BASILASHVILI N.,RINDERKNECH A.,BASILASHVILI N.,30,119,ATP,"['6-2', '7-5']",6,2,7,5,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-18,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,KOHLSCHREIBER P.,RUBLEV A.,RUBLEV A.,128,7,ATP,"['6-7', '2-6']",6,7,2,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-18,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,BASILASHVILI N.,HARRIS L.,BASILASHVILI N.,30,51,ATP,"['6-4', '7-6']",6,4,7,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-18,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,GIRON M.,AUGER-ALIASSIME F.,AUGER-ALIASSIME F.,75,21,ATP,"['3-6', '2-6']",3,6,2,6,-1,-1,-1,-1,-1,-1
HALLE OPEN,2021-06-18,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,HUMBERT U.,KORDA S.,HUMBERT U.,31,52,ATP,"['6-2', '6-7', '6-4']",6,2,6,7,6,4,-1,-1,-1,-1
HALLE OPEN,2021-06-19,ATP500,OUTDOOR,GRASS,SEMIFINALS,3,BASILASHVILI N.,RUBLEV A.,RUBLEV A.,30,7,ATP,"['1-6', '6-3', '3-6']",1,6,6,3,3,6,-1,-1,-1,-1
HALLE OPEN,2021-06-19,ATP500,OUTDOOR,GRASS,SEMIFINALS,3,HUMBERT U.,AUGER-ALIASSIME F.,HUMBERT U.,31,21,ATP,"['6-4', '3-6', '7-6']",6,4,3,6,7,6,-1,-1,-1,-1
HALLE OPEN,2021-06-20,ATP500,OUTDOOR,GRASS,THE FINAL,3,RUBLEV A.,HUMBERT U.,HUMBERT U.,7,31,ATP,"['3-6', '6-7']",3,6,6,7,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,DRAPER J.,SINNER J.,DRAPER J.,309,23,ATP,"['7-6', '7-6']",7,6,7,6,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,WARD J.,POSPISIL V.,POSPISIL V.,340,66,ATP,"['4-6', '4-6']",4,6,4,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,OPELKA R.,MILLMAN J.,MILLMAN J.,32,43,ATP,"['6-7', '7-5', '6-7']",6,7,7,5,6,7,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,NORRIE C.,RAMOS-VINOLAS A.,NORRIE C.,41,38,ATP,"['4-6', '6-3', '6-4']",4,6,6,3,6,4,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,BROADY L.,MANNARINO A.,MANNARINO A.,146,42,ATP,"['4-6', '4-6']",4,6,4,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,LOPEZ F.,MARCHENKO I.,LOPEZ F.,64,155,ATP,"['6-1', '7-6']",6,1,7,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,SONEGO L.,TROICKI V.,TROICKI V.,26,230,ATP,"['4-6', '4-6']",4,6,4,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-14,ATP500,OUTDOOR,GRASS,1ST ROUND,3,KARATSEV A.,TABILO A.,KARATSEV A.,24,171,ATP,"['3-6', '6-4', '6-2']",3,6,6,4,6,2,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,TRAVAGLIA S.,BERRETTINI M.,BERRETTINI M.,88,9,ATP,"['6-7', '6-7']",6,7,6,7,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,BUBLIK A.,CHARDY J.,BUBLIK A.,39,59,ATP,"['6-4', '3-6', '6-3']",6,4,3,6,6,3,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,DJERE L.,DE MINAUR A.,DE MINAUR A.,55,22,ATP,"['6-3', '3-6', '4-6']",6,3,3,6,4,6,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,EVANS D.,POPYRIN A.,EVANS D.,25,67,ATP,"['6-4', '6-4']",6,4,6,4,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,BEDENE A.,TIAFOE F.,TIAFOE F.,60,65,ATP,"['6-4', '3-6', '4-6']",6,4,3,6,4,6,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,MURRAY A.,PAIRE B.,MURRAY A.,124,46,ATP,"['6-3', '6-2']",6,3,6,2,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,LU Y.,FOGNINI F.,FOGNINI F.,624,29,ATP,"['4-6', '6-7']",4,6,6,7,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,SHAPOVALOV D.,VUKIC A.,SHAPOVALOV D.,14,207,ATP,"['7-6', '7-6']",7,6,7,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-15,ATP500,OUTDOOR,GRASS,1ST ROUND,3,OFNER S.,CILIC M.,CILIC M.,174,37,ATP,"['2-6', '7-6', '6-7']",2,6,7,6,6,7,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,DE MINAUR A.,MILLMAN J.,DE MINAUR A.,22,43,ATP,"['6-1', '6-3']",6,1,6,3,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,KARATSEV A.,NORRIE C.,NORRIE C.,24,41,ATP,"['5-7', '2-6']",5,7,2,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,DRAPER J.,BUBLIK A.,DRAPER J.,309,39,ATP,"['7-6', '7-6']",7,6,7,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-16,ATP500,OUTDOOR,GRASS,2ND ROUND,3,FOGNINI F.,CILIC M.,CILIC M.,29,37,ATP,"['3-6', '6-7']",3,6,6,7,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,EVANS D.,MANNARINO A.,EVANS D.,25,42,ATP,"['6-4', '7-6']",6,4,7,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,MURRAY A.,BERRETTINI M.,BERRETTINI M.,124,9,ATP,"['3-6', '3-6']",3,6,3,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,SHAPOVALOV D.,LOPEZ F.,SHAPOVALOV D.,14,64,ATP,"['6-2', '6-3']",6,2,6,3,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-17,ATP500,OUTDOOR,GRASS,2ND ROUND,3,TROICKI V.,TIAFOE F.,TIAFOE F.,230,65,ATP,"['3-6', '6-7']",3,6,6,7,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-18,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,BERRETTINI M.,EVANS D.,BERRETTINI M.,9,25,ATP,"['7-6', '6-3']",7,6,6,3,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-18,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,CILIC M.,DE MINAUR A.,DE MINAUR A.,37,22,ATP,"['6-3', '3-6', '4-6']",6,3,3,6,4,6,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-18,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,NORRIE C.,DRAPER J.,NORRIE C.,41,309,ATP,"['6-3', '6-3']",6,3,6,3,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-19,ATP500,OUTDOOR,GRASS,QUARTERFINALS,3,TIAFOE F.,SHAPOVALOV D.,SHAPOVALOV D.,65,14,ATP,"['3-6', '4-6']",3,6,4,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-19,ATP500,OUTDOOR,GRASS,SEMIFINALS,3,BERRETTINI M.,DE MINAUR A.,BERRETTINI M.,9,22,ATP,"['6-4', '6-4']",6,4,6,4,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-19,ATP500,OUTDOOR,GRASS,SEMIFINALS,3,SHAPOVALOV D.,NORRIE C.,NORRIE C.,14,41,ATP,"['5-7', '3-6']",5,7,3,6,-1,-1,-1,-1,-1,-1
QUEEN'S CLUB CHAMPIONSHIPS,2021-06-20,ATP500,OUTDOOR,GRASS,THE FINAL,3,BERRETTINI M.,NORRIE C.,BERRETTINI M.,9,41,ATP,"['6-4', '6-7', '6-3']",6,4,6,7,6,3,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,TSONGA J.W.,GERASIMOV E.,GERASIMOV E.,83,72,ATP,"['3-6', '4-6']",3,6,4,6,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,POPYRIN A.,GOMBOS N.,POPYRIN A.,67,94,ATP,"['4-6', '6-4', '6-1']",4,6,6,4,6,1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,GRAY A.,IVASHKA I.,IVASHKA I.,1133,87,ATP,"['2-6', '6-7']",2,6,6,7,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,MILLMAN J.,CLARKE J.,MILLMAN J.,43,230,ATP,"['6-3', '6-2']",6,3,6,2,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,KUKUSHKIN M.,BUBLIK A.,BUBLIK A.,106,39,ATP,"['1-6', '4-6']",1,6,4,6,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,PURCELL M.,DUCKWORTH J.,PURCELL M.,283,88,ATP,"['6-2', '3-6', '7-6']",6,2,3,6,7,6,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,RAMOS-VINOLAS A.,RUUSUVUORI E.,RUUSUVUORI E.,40,79,ATP,"['4-6', '3-6']",4,6,3,6,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,SEPPI A.,NISHIOKA Y.,SEPPI A.,95,57,ATP,"['7-6', '6-1']",7,6,6,1,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,YMER M.,DAVIDOVICH FOKINA A.,DAVIDOVICH FOKINA A.,98,35,ATP,"['5-7', '1-6']",5,7,1,6,-1,-1,-1,-1,-1,-1
VIKING INTERNATIONAL,2021-06-22,ATP250,OUTDOOR,GRASS,1ST ROUND,3,FUCSOVICS M.,BEDENE A.,FUCSOVICS M.,49,64,ATP,"['7-6', '3-6', '7-6']",7,6,3,6,7,6,-1,-1,-1,-1
