tournament,date,series,court,surface,round,best_of,player_1,player_2,winner,rank_1,rank_2,source,set_scores,set1_player1,set1_player2,set2_player1,set2_player2,set3_player1,set3_player2,set4_player1,set4_player2,set5_player1,set5_player2
QATAR EXXON MOBIL OPEN,2020-01-10,ATP250,OUTDOOR,HARD,SEMIFINALS,3,KECMANOVIC M.,RUBLEV A.,RUBLEV A.,62,23,ATP,"['3-6', '1-6']",3,6,1,6,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-10,ATP250,OUTDOOR,HARD,SEMIFINALS,3,MOUTET C.,WAWRINKA S.,MOUTET C.,81,15,ATP,"['3-6', '7-5', '6-3']",3,6,7,5,6,3,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-11,ATP250,OUTDOOR,HARD,THE FINAL,3,MOUTET C.,RUBLEV A.,RUBLEV A.,81,23,ATP,"['2-6', '6-7']",2,6,6,7,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-12,ATP250,OUTDOOR,HARD,1ST ROUND,3,BUBLIK A.,FRITZ T.,BUBLIK A.,55,32,ATP,"['6-4', '7-6']",6,4,7,6,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-12,ATP250,OUTDOOR,HARD,1ST ROUND,3,OPELKA R.,CUEVAS P.,CUEVAS P.,38,44,ATP,"['7-5', '6-7', '6-7']",7,5,6,7,6,7,-1,-1,-1,-1
ASB CLASSIC,2020-01-12,ATP250,OUTDOOR,HARD,1ST ROUND,3,DJERE L.,POPYRIN A.,DJERE L.,40,95,ATP,"['7-6', '3-6', '6-4']",7,6,3,6,6,4,-1,-1,-1,-1
ASB CLASSIC,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,SIMON G.,CHARDY J.,CHARDY J.,60,56,ATP,"['3-6', '5-7']",3,6,5,7,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,EVANS D.,LONDERO J.I.,EVANS D.,33,51,ATP,"['6-2', '6-4']",6,2,6,4,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,GARIN C.,HARRIS L.,HARRIS L.,36,91,ATP,"['6-7', '6-3', '4-6']",6,7,6,3,4,6,-1,-1,-1,-1
ASB CLASSIC,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,QUERREY S.,BARRERE G.,QUERREY S.,45,82,ATP,"['6-7', '6-2', '7-6']",6,7,6,2,7,6,-1,-1,-1,-1
ASB CLASSIC,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,DELBONIS F.,DUCKWORTH J.,DUCKWORTH J.,73,96,ATP,"['4-6', '4-6']",4,6,4,6,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-14,ATP250,OUTDOOR,HARD,1ST ROUND,3,PAUL T.,BEDENE A.,PAUL T.,90,54,ATP,"['6-4', '6-4']",6,4,6,4,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-14,ATP250,OUTDOOR,HARD,1ST ROUND,3,THOMPSON J.,RAMOS-VINOLAS A.,RAMOS-VINOLAS A.,65,42,ATP,"['4-6', '7-6', '3-6']",4,6,7,6,3,6,-1,-1,-1,-1
ASB CLASSIC,2020-01-14,ATP250,OUTDOOR,HARD,1ST ROUND,3,STRUFF J.L.,CARUSO S.,STRUFF J.L.,37,94,ATP,"['6-4', '6-2']",6,4,6,2,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-14,ATP250,OUTDOOR,HARD,1ST ROUND,3,ROBERT S.,BOLT A.,BOLT A.,661,157,ATP,"['4-6', '6-2', '0-6']",4,6,6,2,0,6,-1,-1,-1,-1
ASB CLASSIC,2020-01-14,ATP250,OUTDOOR,HARD,2ND ROUND,3,EVANS D.,BUBLIK A.,EVANS D.,33,55,ATP,"['7-5', '6-2']",7,5,6,2,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,DJERE L.,HARRIS L.,HARRIS L.,40,91,ATP,"['6-7', '3-6']",6,7,3,6,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,RUBLEV A.,QUERREY S.,RUBLEV A.,18,45,ATP,"['6-3', '6-3']",6,3,6,3,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,CUEVAS P.,PAUL T.,PAUL T.,44,90,ATP,"['1-6', '2-6']",1,6,2,6,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,CARRENO BUSTA P.,CHARDY J.,CARRENO BUSTA P.,30,56,ATP,"['6-3', '6-2']",6,3,6,2,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,MUNAR J.,RAMOS-VINOLAS A.,RAMOS-VINOLAS A.,88,42,ATP,"['6-7', '3-6']",6,7,3,6,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,BOLT A.,STRUFF J.L.,BOLT A.,157,37,ATP,"['6-3', '6-4']",6,3,6,4,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,DUCKWORTH J.,AUGER-ALIASSIME F.,AUGER-ALIASSIME F.,96,22,ATP,"['3-6', '6-7']",3,6,6,7,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,HARRIS L.,CARRENO BUSTA P.,HARRIS L.,91,30,ATP,"['6-3', '6-3']",6,3,6,3,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,EVANS D.,RUBLEV A.,RUBLEV A.,33,18,ATP,"['4-6', '6-3', '3-6']",4,6,6,3,3,6,-1,-1,-1,-1
ASB CLASSIC,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,PAUL T.,RAMOS-VINOLAS A.,PAUL T.,90,42,ATP,"['6-3', '6-4']",6,3,6,4,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,BOLT A.,AUGER-ALIASSIME F.,AUGER-ALIASSIME F.,157,22,ATP,"['3-6', '0-6']",3,6,0,6,-1,-1,-1,-1,-1,-1
ASB CLASSIC,2020-01-17,ATP250,OUTDOOR,HARD,SEMIFINALS,3,HARRIS L.,PAUL T.,HARRIS L.,91,90,ATP,"['6-4', '6-7', '6-3']",6,4,6,7,6,3,-1,-1,-1,-1
ASB CLASSIC,2020-01-17,ATP250,OUTDOOR,HARD,SEMIFINALS,3,AUGER-ALIASSIME F.,RUBLEV A.,RUBLEV A.,22,18,ATP,"['6-7', '7-6', '4-6']",6,7,7,6,4,6,-1,-1,-1,-1
ASB CLASSIC,2020-01-18,ATP250,OUTDOOR,HARD,THE FINAL,3,RUBLEV A.,HARRIS L.,RUBLEV A.,18,91,ATP,"['6-3', '6-0']",6,3,6,0,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,SONEGO L.,HURKACZ H.,HURKACZ H.,52,34,ATP,"['5-7', '3-6']",5,7,3,6,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,MONTEIRO T.,NORRIE C.,MONTEIRO T.,86,62,ATP,"['7-6', '6-2']",7,6,6,2,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,RUUD C.,HUMBERT U.,HUMBERT U.,46,57,ATP,"['6-7', '6-2', '3-6']",6,7,6,2,3,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,PAIRE B.,SINNER J.,PAIRE B.,24,79,ATP,"['6-4', '2-6', '6-4']",6,4,2,6,6,4,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-13,ATP250,OUTDOOR,HARD,1ST ROUND,3,TIAFOE F.,YMER M.,YMER M.,49,77,ATP,"['4-6', '7-5', '1-6']",4,6,7,5,1,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-14,ATP250,OUTDOOR,HARD,1ST ROUND,3,POSPISIL V.,SOUSA J.,POSPISIL V.,146,58,ATP,"['6-4', '6-2']",6,4,6,2,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-14,ATP250,OUTDOOR,HARD,1ST ROUND,3,DAVIDOVICH FOKINA A.,EDMUND K.,EDMUND K.,85,69,ATP,"['2-6', '6-4', '3-6']",2,6,6,4,3,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-14,ATP250,OUTDOOR,HARD,1ST ROUND,3,MILLMAN J.,MMOH M.,MILLMAN J.,47,227,ATP,"['7-6', '6-4']",7,6,6,4,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,1ST ROUND,3,MANNARINO A.,SEPPI A.,SEPPI A.,43,84,ATP,"['6-3', '4-6', '4-6']",6,3,4,6,4,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,1ST ROUND,3,LOPEZ F.,ANDUJAR P.,LOPEZ F.,61,63,ATP,"['3-6', '7-6', '6-4']",3,6,7,6,6,4,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,1ST ROUND,3,MAYER L.,CECCHINATO M.,CECCHINATO M.,100,76,ATP,"['6-7', '7-6', '6-7']",6,7,7,6,6,7,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,ISNER J.,SANDGREN T.,ISNER J.,20,101,ATP,"['7-6', '6-7', '6-3']",7,6,6,7,6,3,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,YMER M.,HURKACZ H.,HURKACZ H.,77,34,ATP,"['2-6', '6-7']",2,6,6,7,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,PAIRE B.,MONTEIRO T.,PAIRE B.,24,86,ATP,"['4-6', '6-4', '6-3']",4,6,6,4,6,3,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,FOGNINI F.,LOPEZ F.,LOPEZ F.,12,61,ATP,"['6-3', '4-6', '3-6']",6,3,4,6,3,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,EDMUND K.,SEPPI A.,EDMUND K.,69,84,ATP,"['6-3', '7-6']",6,3,7,6,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,CECCHINATO M.,HUMBERT U.,HUMBERT U.,76,57,ATP,"['1-6', '4-6']",1,6,4,6,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,SHAPOVALOV D.,POSPISIL V.,SHAPOVALOV D.,13,146,ATP,"['6-4', '7-6']",6,4,7,6,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-15,ATP250,OUTDOOR,HARD,2ND ROUND,3,KHACHANOV K.,MILLMAN J.,MILLMAN J.,16,47,ATP,"['6-4', '3-6', '3-6']",6,4,3,6,3,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,ISNER J.,EDMUND K.,ISNER J.,20,69,ATP,"['7-6', '7-6']",7,6,7,6,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,SHAPOVALOV D.,HUMBERT U.,HUMBERT U.,13,57,ATP,"['5-7', '4-6']",5,7,4,6,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,PAIRE B.,MILLMAN J.,PAIRE B.,24,47,ATP,"['3-6', '6-1', '6-4']",3,6,6,1,6,4,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-16,ATP250,OUTDOOR,HARD,QUARTERFINALS,3,LOPEZ F.,HURKACZ H.,HURKACZ H.,61,34,ATP,"['4-6', '7-6', '4-6']",4,6,7,6,4,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-17,ATP250,OUTDOOR,HARD,SEMIFINALS,3,HUMBERT U.,ISNER J.,HUMBERT U.,57,20,ATP,"['7-6', '6-4']",7,6,6,4,-1,-1,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-17,ATP250,OUTDOOR,HARD,SEMIFINALS,3,HURKACZ H.,PAIRE B.,PAIRE B.,34,24,ATP,"['4-6', '7-6', '2-6']",4,6,7,6,2,6,-1,-1,-1,-1
ADELAIDE INTERNATIONAL,2020-01-18,ATP250,OUTDOOR,HARD,THE FINAL,3,HUMBERT U.,PAIRE B.,HUMBERT U.,57,24,ATP,"['7-6', '3-6', '7-6']",7,6,3,6,7,6,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,HARRIS A.,BERRETTINI M.,BERRETTINI M.,162,8,ATP,"['3-6', '1-6', '3-6']",3,6,1,6,3,6,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,BERANKIS R.,CARBALLES BAENA R.,BERANKIS R.,69,83,ATP,"['6-4', '6-2', '6-2']",6,4,6,2,6,2,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,MCDONALD M.,EVANS D.,EVANS D.,129,32,ATP,"['6-3', '6-4', '1-6', '2-6', '3-6']",6,3,6,4,1,6,2,6,3,6
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,NISHIOKA Y.,DJERE L.,NISHIOKA Y.,71,40,ATP,"['6-4', '3-6', '6-2', '7-6']",6,4,3,6,6,2,7,6,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,SMITH J.P.,PELLA G.,PELLA G.,308,25,ATP,"['3-6', '5-7', '4-6']",3,6,5,7,4,6,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,QUERREY S.,CORIC B.,QUERREY S.,45,28,ATP,"['6-3', '6-4', '6-4']",6,3,6,4,6,4,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,SAFWAT M.,BARRERE G.,BARRERE G.,173,84,ATP,"['7-6', '6-7', '4-6', '6-7']",7,6,6,7,4,6,6,7,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,FUCSOVICS M.,SHAPOVALOV D.,FUCSOVICS M.,67,13,ATP,"['6-3', '6-7', '6-1', '7-6']",6,3,6,7,6,1,7,6,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,JOHNSON S.,FEDERER R.,FEDERER R.,75,3,ATP,"['3-6', '2-6', '2-6']",3,6,2,6,2,6,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,DIMITROV G.,LONDERO J.I.,DIMITROV G.,20,52,ATP,"['4-6', '6-2', '6-0', '6-4']",4,6,6,2,6,0,6,4,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,CARUSO S.,TSITSIPAS S.,TSITSIPAS S.,95,6,ATP,"['0-6', '2-6', '3-6']",0,6,2,6,3,6,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,KOHLSCHREIBER P.,GIRON M.,KOHLSCHREIBER P.,79,107,ATP,"['7-5', '6-1', '6-2']",7,5,6,1,6,2,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-20,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,STRUFF J.L.,DJOKOVIC N.,DJOKOVIC N.,37,2,ATP,"['6-7', '2-6', '6-2', '1-6']",6,7,2,6,6,2,1,6,-1,-1
